policy,fault,seed,l6_score_clean,l6_score_faulted,l6_shift,l6_threshold,l6_headroom,l6_shift_over_headroom,could_fire
P3,speed_bias,20260733,3.376848410450094,3.375707785005795,0.0011406254442993813,5.429835857050202,2.052987446600108,0.0005555929950708357,False
P3,speed_bias,20260734,3.3774112482619127,3.3760274447494227,0.0013838035124900117,5.429835857050202,2.0524246087882894,0.0006742286691382938,False
P3,speed_bias,20260735,3.3800772028813033,3.374926329456532,0.005150873424771163,5.429835857050202,2.049758654168899,0.0025129170277169294,False
P3,speed_bias,20260736,3.384929446500751,3.375352707987304,0.009576738513447314,5.4276444895010805,2.0427150430003294,0.0046882400686593315,False
P3,speed_bias,20260737,3.3843647037555917,3.3748738724584952,0.009490831297096491,5.429835857050202,2.0454711532946104,0.004639924294121552,False
P3,speed_bias,20260738,3.3854317721470433,3.3751966633010277,0.010235108846015528,5.429835857050202,2.044404084903159,0.005006402071682592,False
P3,speed_bias,20260739,3.3765602823648133,3.3760243496249394,0.0005359327398739566,5.429835857050202,2.053275574685389,0.00026101354658936827,False
P3,speed_bias,20260740,3.3861508808385707,3.3755106573570344,0.01064022348153637,5.428192331388361,2.0420414505497906,0.005210581537740892,False
P3,lateral_noise,20260731,3.3927087339501067,3.580576635054822,0.18786790110471507,5.405730814009878,2.0130220800597716,0.09332629928189204,False
P3,lateral_noise,20260732,3.388345691744722,3.514726643160087,0.12638095141536487,5.4103874700517585,2.0220417783070364,0.06250165192985177,False
P3,lateral_noise,20260733,3.376848410450094,3.549249451834321,0.17240104138422696,5.41285275854452,2.0360043480944254,0.08467616562095445,False
P3,lateral_noise,20260734,3.3774112482619127,3.856274065104893,0.47886281684298027,5.41285275854452,2.035441510282607,0.23526238136731992,False
P3,lateral_noise,20260735,3.3800772028813033,3.5049675916440366,0.12489038876273328,5.413400600431799,2.0333233975504954,0.06142180280480039,False
P3,lateral_noise,20260736,3.384929446500751,3.7167943287186,0.33186488221784893,5.408196102502639,2.0232666560018875,0.16402429271168661,False
P3,lateral_noise,20260737,3.3843647037555917,3.744745275789695,0.36038057203410334,5.41120923288268,2.026844529127088,0.1778037569508651,False
P3,lateral_noise,20260738,3.3854317721470433,3.811139426072194,0.42570765392515053,5.405456893066237,2.0200251209191937,0.21074374249931913,False
P3,lateral_noise,20260739,3.3765602823648133,3.443936754688893,0.06737647232407973,5.412030995713598,2.035470713348785,0.033101175016775855,False
P3,lateral_noise,20260740,3.3861508808385707,3.4626864252439025,0.07653554440533172,5.410935311939039,2.0247844311004686,0.037799354454604694,False
