seed,policy,fault,severity,stage,metric,D_s,A_f,unique_absorption,veto_rate,mean_speed,validity,invalid_reason,git_commit
20260733,P1,position_drift,2.0 m final,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_drift,2.0 m final,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_drift,2.0 m final,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_drift,2.0 m final,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,position_drift,2.0 m final,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4949,INVALID,ground-truth regeneration (ADR-0033): fault never reached the estimator,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.957500,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.569688,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.570163,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.566837,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.508337,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_stuck,hold,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,True,0.017500,13.4862,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.538725,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.679500,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.533513,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L6,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.558375,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L7,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,speed_bias,3.0 m/s,L8,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.500000,L2a,False,0.017500,13.1187,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,lateral_noise,sigma x25,L1,"AUC(faulted, matched-clean) folded to [0.5,1.0]",1.000000,L6,False,0.235000,11.1946,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,lateral_noise,sigma x25,L2a,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.989450,L6,False,0.235000,11.1946,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,lateral_noise,sigma x25,L2b,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.894850,L6,False,0.235000,11.1946,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
20260733,P1,lateral_noise,sigma x25,L3,"AUC(faulted, matched-clean) folded to [0.5,1.0]",0.989537,L6,False,0.235000,11.1946,VALID,,6383676a3491dc82d70f2db20cdafb942e5c588a
