seed,policy,fault,severity,A_f,unique_absorption,threshold_crossings,veto_rate,mean_speed,failure_status,validity
20260752,P1,speed_stuck,hold,L2a,True,1,0.027500,13.5817,ok,VALID
20260752,P1,speed_bias,3.0 m/s,L2a,False,3,0.027500,13.2200,ok,VALID
20260752,P1,lateral_noise,sigma x25,L6,False,2,0.480000,9.9663,ok,VALID
20260753,P1,imu_dropout,suppress IMU,,False,0,0.495000,6.9404,ok,VALID
20260753,P1,position_bias,1.0 m,L2a,True,1,0.027500,11.9793,ok,INVALID
20260753,P1,position_drift,2.0 m final,L2a,True,1,0.027500,11.9793,ok,INVALID
20260753,P1,speed_stuck,hold,L2a,True,1,0.027500,11.9886,ok,VALID
20260753,P1,speed_bias,3.0 m/s,L2a,False,3,0.027500,11.6172,ok,VALID
20260753,P1,lateral_noise,sigma x25,L6,False,2,0.492500,8.4471,ok,VALID
20260754,P1,imu_dropout,suppress IMU,L2a,False,4,0.027500,6.2745,ok,VALID
20260754,P1,position_bias,1.0 m,L2a,True,1,0.022500,10.9538,ok,INVALID
20260754,P1,position_drift,2.0 m final,L2a,True,1,0.022500,10.9538,ok,INVALID
20260754,P1,speed_stuck,hold,L2a,True,1,0.022500,10.9743,ok,VALID
20260754,P1,speed_bias,3.0 m/s,L2a,False,5,0.022500,10.6103,ok,VALID
20260754,P1,lateral_noise,sigma x25,,False,0,0.452500,8.2319,ok,VALID
20260755,P1,imu_dropout,suppress IMU,L7,False,2,0.062500,6.1689,ok,VALID
20260755,P1,position_bias,1.0 m,L2a,True,1,0.005000,10.9546,ok,INVALID
20260755,P1,position_drift,2.0 m final,L2a,True,1,0.005000,10.9546,ok,INVALID
20260755,P1,speed_stuck,hold,L2a,True,1,0.005000,10.9847,ok,VALID
20260755,P1,speed_bias,3.0 m/s,L2a,False,5,0.005000,10.6014,ok,VALID
20260755,P1,lateral_noise,sigma x25,,False,0,0.212500,9.3079,ok,VALID
20260756,P1,imu_dropout,suppress IMU,,False,0,0.142500,5.6522,ok,VALID
20260756,P1,position_bias,1.0 m,L2a,True,1,0.005000,10.2194,ok,INVALID
20260756,P1,position_drift,2.0 m final,L2a,True,1,0.005000,10.2194,ok,INVALID
20260756,P1,speed_stuck,hold,L2a,True,1,0.005000,10.2643,ok,VALID
20260756,P1,speed_bias,3.0 m/s,L2a,False,5,0.005000,9.8755,ok,VALID
20260756,P1,lateral_noise,sigma x25,L6,False,2,0.245000,8.5794,ok,VALID
20260757,P1,imu_dropout,suppress IMU,L7,False,2,0.047500,6.3493,ok,VALID
20260757,P1,position_bias,1.0 m,L2a,True,1,0.017500,11.1673,ok,INVALID
20260757,P1,position_drift,2.0 m final,L2a,True,1,0.017500,11.1673,ok,INVALID
20260757,P1,speed_stuck,hold,L2a,True,1,0.017500,11.1966,ok,VALID
20260757,P1,speed_bias,3.0 m/s,L2a,False,5,0.017500,10.8119,ok,VALID
20260757,P1,lateral_noise,sigma x25,,False,0,0.235000,9.6586,ok,VALID
20260758,P1,imu_dropout,suppress IMU,L2a,False,6,0.077500,7.5971,ok,VALID
20260758,P1,position_bias,1.0 m,L2a,True,1,0.075000,12.9039,ok,INVALID
20260758,P1,position_drift,2.0 m final,L2a,True,1,0.075000,12.9039,ok,INVALID
20260758,P1,speed_stuck,hold,L2a,True,1,0.072500,12.9029,ok,VALID
20260758,P1,speed_bias,3.0 m/s,L2a,False,3,0.075000,12.5363,ok,VALID
20260758,P1,lateral_noise,sigma x25,,False,0,0.300000,11.1750,ok,VALID
20260759,P1,imu_dropout,suppress IMU,L7,False,2,0.060000,7.6074,ok,VALID
20260759,P1,position_bias,1.0 m,L2a,True,1,0.017500,12.8782,ok,INVALID
20260759,P1,position_drift,2.0 m final,L2a,True,1,0.017500,12.8782,ok,INVALID
20260759,P1,speed_stuck,hold,L2a,True,1,0.017500,12.8703,ok,VALID
20260759,P1,speed_bias,3.0 m/s,L2a,False,3,0.017500,12.5092,ok,VALID
20260759,P1,lateral_noise,sigma x25,,False,0,0.240000,11.3284,ok,VALID
20260760,P1,imu_dropout,suppress IMU,L2b,False,4,0.045000,8.1055,ok,VALID
20260760,P1,position_bias,1.0 m,L2a,True,1,0.015000,13.4702,ok,INVALID
20260760,P1,position_drift,2.0 m final,L2a,True,1,0.015000,13.4702,ok,INVALID
20260760,P1,speed_stuck,hold,L2a,True,1,0.015000,13.4489,ok,VALID
20260760,P1,speed_bias,3.0 m/s,L2a,False,3,0.015000,13.0934,ok,VALID
20260760,P1,lateral_noise,sigma x25,,False,0,0.407500,9.9677,ok,VALID
20260731,P2,imu_dropout,suppress IMU,L6,False,2,0.780000,3.8893,ok,VALID
20260731,P2,position_bias,1.0 m,L2a,True,1,0.695000,5.2070,ok,INVALID
20260731,P2,position_drift,2.0 m final,L2a,True,1,0.695000,5.2070,ok,INVALID
20260731,P2,speed_stuck,hold,L2b,False,3,0.645000,8.2013,ok,VALID
20260731,P2,speed_bias,3.0 m/s,L1,True,0,0.627500,4.0702,ok,VALID
20260731,P2,lateral_noise,sigma x25,,False,0,0.845000,3.6577,ok,VALID
20260732,P2,imu_dropout,suppress IMU,L6,False,2,0.842500,3.9555,ok,VALID
20260732,P2,position_bias,1.0 m,L2a,True,1,0.702500,5.2238,ok,INVALID
20260732,P2,position_drift,2.0 m final,L2a,True,1,0.702500,5.2238,ok,INVALID
20260732,P2,speed_stuck,hold,L6,False,2,0.612500,3.3963,ok,VALID
20260732,P2,speed_bias,3.0 m/s,L1,True,0,0.635000,4.1460,ok,VALID
20260732,P2,lateral_noise,sigma x25,L7,False,2,0.790000,3.8652,ok,VALID
20260733,P2,imu_dropout,suppress IMU,L7,True,1,0.877500,3.4576,ok,VALID
20260733,P2,position_bias,1.0 m,L2a,True,1,0.870000,3.4619,ok,INVALID
20260733,P2,position_drift,2.0 m final,L2a,True,1,0.870000,3.4619,ok,INVALID
20260733,P2,speed_stuck,hold,L2b,False,3,0.667500,3.4576,ok,VALID
20260733,P2,speed_bias,3.0 m/s,L2b,False,3,0.667500,3.4576,ok,VALID
20260733,P2,lateral_noise,sigma x25,L7,True,1,0.877500,3.4619,ok,VALID
20260734,P2,imu_dropout,suppress IMU,L2a,False,5,0.960000,2.5816,ok,VALID
20260734,P2,position_bias,1.0 m,L2a,True,1,0.960000,2.5857,ok,INVALID
20260734,P2,position_drift,2.0 m final,L2a,True,1,0.960000,2.5857,ok,INVALID
20260734,P2,speed_stuck,hold,L2a,False,5,0.960000,4.0891,ok,VALID
20260734,P2,speed_bias,3.0 m/s,L2a,False,3,0.732500,2.5816,ok,VALID
20260734,P2,lateral_noise,sigma x25,L2b,False,3,0.960000,2.5911,ok,VALID
20260735,P2,imu_dropout,suppress IMU,L7,True,1,0.960000,3.9706,ok,VALID
20260735,P2,position_bias,1.0 m,L2a,True,1,0.960000,2.4526,ok,INVALID
20260735,P2,position_drift,2.0 m final,L2a,True,1,0.960000,2.4526,ok,INVALID
20260735,P2,speed_stuck,hold,L2b,False,3,0.960000,2.4481,ok,VALID
20260735,P2,speed_bias,3.0 m/s,L2b,False,3,0.737500,2.4481,ok,VALID
20260735,P2,lateral_noise,sigma x25,L2b,False,3,0.960000,2.4552,ok,VALID
20260736,P2,imu_dropout,suppress IMU,L7,True,1,0.927500,2.6919,ok,VALID
20260736,P2,position_bias,1.0 m,L2a,True,1,0.927500,2.6963,ok,INVALID
20260736,P2,position_drift,2.0 m final,L2a,True,1,0.927500,2.6963,ok,INVALID
20260736,P2,speed_stuck,hold,L7,True,1,0.927500,4.1994,ok,VALID
20260736,P2,speed_bias,3.0 m/s,L2a,False,3,0.717500,2.6919,ok,VALID
20260736,P2,lateral_noise,sigma x25,L2b,False,3,0.927500,2.6996,ok,VALID
20260737,P2,imu_dropout,suppress IMU,L6,True,1,0.927500,2.7924,ok,VALID
20260737,P2,position_bias,1.0 m,L2a,True,1,0.927500,2.7970,ok,INVALID
20260737,P2,position_drift,2.0 m final,L2a,True,1,0.927500,2.7970,ok,INVALID
20260737,P2,speed_stuck,hold,L1,False,4,0.927500,2.7924,ok,VALID
20260737,P2,speed_bias,3.0 m/s,L2b,False,3,0.670000,2.7924,ok,VALID
20260737,P2,lateral_noise,sigma x25,L2b,False,3,0.927500,2.7990,ok,VALID
20260738,P2,imu_dropout,suppress IMU,L8,True,1,0.640000,4.7288,ok,VALID
20260738,P2,position_bias,1.0 m,L2a,True,1,0.797500,4.2336,ok,INVALID
20260738,P2,position_drift,2.0 m final,L2a,True,1,0.797500,4.2336,ok,INVALID
20260738,P2,speed_stuck,hold,L2b,False,3,0.647500,3.4738,ok,VALID
20260738,P2,speed_bias,3.0 m/s,L2a,False,4,0.640000,3.9961,ok,VALID
20260738,P2,lateral_noise,sigma x25,L7,True,1,0.840000,3.8156,ok,VALID
20260739,P2,imu_dropout,suppress IMU,,False,0,0.827500,4.9240,ok,VALID
20260739,P2,position_bias,1.0 m,L2a,True,1,0.712500,5.6572,ok,INVALID
20260739,P2,position_drift,2.0 m final,L2a,True,1,0.712500,5.6572,ok,INVALID
20260739,P2,speed_stuck,hold,L2b,False,4,0.605000,4.0560,ok,VALID
20260739,P2,speed_bias,3.0 m/s,L2a,False,3,0.615000,4.9108,ok,VALID
20260739,P2,lateral_noise,sigma x25,L7,False,2,0.752500,4.9528,ok,VALID
20260740,P2,imu_dropout,suppress IMU,L6,False,2,0.865000,3.5657,ok,VALID
20260740,P2,position_bias,1.0 m,L2a,True,1,0.762500,4.6462,ok,INVALID
20260740,P2,position_drift,2.0 m final,L2a,True,1,0.762500,4.6462,ok,INVALID
20260740,P2,speed_stuck,hold,L6,False,2,0.680000,3.8217,ok,VALID
