experiment_id,git_commit,config_hash,calibration_version,policy,seed,condition,calibration_window,threshold,evaluation_n,alarm_count,run_far,in_band,eval_mean,eval_sd,threshold_margin
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261013,clean,ticks 201-400 pooled,3.395305537817987,200,8,0.04,True,3.386111766996813,0.004139128773026816,-0.00919377082117423
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261014,clean,ticks 201-400 pooled,3.395305537817987,200,2,0.01,False,3.3812369464956857,0.00329242462726791,-0.014068591322301316
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261015,clean,ticks 201-400 pooled,3.395305537817987,200,0,0.0,False,3.378939761655433,0.0027024174268255267,-0.01636577616255419
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261016,clean,ticks 201-400 pooled,3.395305537817987,200,3,0.015,False,3.379494706676194,0.0034792000283306273,-0.01581083114179327
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261017,clean,ticks 201-400 pooled,3.395305537817987,200,3,0.015,False,3.3822400538593547,0.004306937043181804,-0.013065483958632385
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261018,clean,ticks 201-400 pooled,3.395305537817987,200,2,0.01,False,3.3830198721571345,0.003089901609233054,-0.01228566566085254
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261019,clean,ticks 201-400 pooled,3.395305537817987,200,0,0.0,False,3.3778693110994618,0.0028462224702613228,-0.017436226718525294
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261020,clean,ticks 201-400 pooled,3.395305537817987,200,33,0.165,False,3.3925847767447994,0.004098220242245391,-0.0027207610731876386
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261021,clean,ticks 201-400 pooled,3.395305537817987,200,105,0.525,False,3.3962577158678333,0.003722727021719025,0.000952178049846264
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261022,clean,ticks 201-400 pooled,3.395305537817987,200,163,0.815,False,3.398362098562444,0.0040398318776692175,0.0030565607444570375
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261023,clean,ticks 201-400 pooled,3.395305537817987,200,1,0.005,False,3.379368136458455,0.0035713048315168415,-0.015937401359531922
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261024,clean,ticks 201-400 pooled,3.395305537817987,200,2,0.01,False,3.3811218728019616,0.0028730375678502175,-0.014183665016025415
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261025,clean,ticks 201-400 pooled,3.395305537817987,200,23,0.115,False,3.3913918589315672,0.004740973641223511,-0.0039136788864198024
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261026,clean,ticks 201-400 pooled,3.395305537817987,200,2,0.01,False,3.37920944040214,0.003886029361446625,-0.016096097415847055
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261027,clean,ticks 201-400 pooled,3.395305537817987,200,2,0.01,False,3.376334903625384,0.0045931397738001286,-0.018970634192603253
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261028,clean,ticks 201-400 pooled,3.395305537817987,200,25,0.125,False,3.3915822589375013,0.004478528975409058,-0.0037232788804857364
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261029,clean,ticks 201-400 pooled,3.395305537817987,200,0,0.0,False,3.376052138697576,0.0027879994034438827,-0.019253399120410908
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P3,20261030,clean,ticks 201-400 pooled,3.395305537817987,200,1,0.005,False,3.3787271680499247,0.0036190268181691193,-0.016578369768062373
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261001,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.377907349940195,0.5177299617347547,-1.6221118085160526
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261002,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.497416730961679,0.024141979577070944,-0.5026024274945682
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261003,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.4701431693198375,0.034678936218578864,-0.5298759891364098
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261004,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.492446843863211,0.027230169422871417,-0.5075723145930366
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261005,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.181079223483835,0.6130827632785993,-0.8189399349724118
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261006,clean,ticks 201-400 pooled,6.000019158456247,200,180,0.9,False,7.192919617826135,0.6354593161992357,1.1929004593698878
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261007,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.432968997651882,0.04138097046296627,-0.5670501608043654
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261008,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.5386013201833215,0.029787539418726375,-0.4614178382729257
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261009,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.06076090510881,0.07357219530426375,-1.939258253347437
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261010,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.608824948304828,0.23483602792990502,-0.3911942101514194
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261011,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.492176916186705,0.02833594747085275,-0.5078422422695423
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261012,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.148590709090748,0.5736042228270821,-0.8514284493654989
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261013,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.738346583283644,0.7225791027550104,-1.2616725751726028
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261014,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.783855254137211,0.025406329693406744,-0.21616390431903643
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261015,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.456742276782912,0.032166982559941146,-0.5432768816733349
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261016,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.974890921553871,0.6497968500441144,-1.0251282369023764
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261017,clean,ticks 201-400 pooled,6.000019158456247,200,2,0.01,False,4.138186563824182,0.33926906968515635,-1.861832594632065
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261018,clean,ticks 201-400 pooled,6.000019158456247,200,117,0.585,False,6.253723444120195,0.6615993990970467,0.25370428566394754
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261019,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.740813964676713,0.02416037140286823,-0.2592051937795343
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261020,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.411455926967444,0.38745212043355937,-0.588563231488803
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261021,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.582465672049479,0.02770429214089337,-0.41755348640676804
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261022,clean,ticks 201-400 pooled,6.000019158456247,200,200,1.0,False,6.885685227867357,0.023495109078779844,0.8856660694111094
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261023,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.623639623987915,0.712936667844508,-1.3763795344683318
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261024,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.663294610355019,0.027014023023657803,-0.33672454810122865
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261025,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.707025219559592,0.7314210960366339,-1.2929939388966556
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261026,clean,ticks 201-400 pooled,6.000019158456247,200,3,0.015,False,5.398925718380371,0.24224481955650431,-0.6010934400758758
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261027,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.44886690269547,0.03512902262802181,-0.5511522557607771
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261028,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.587478519580639,0.03166490353312531,-0.4125406388756083
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261029,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,5.499803858467174,0.026976424796069178,-0.5002152999890734
E18-R2,6383676a3491dc82d70f2db20cdafb942e5c588a,a1dbf0fabb165fd5,R2-v3-matched-pooled,P2,20261030,clean,ticks 201-400 pooled,6.000019158456247,200,0,0.0,False,4.16771906304954,0.38128111307840135,-1.8323000954067075
